City,State,Total Search Volume,Average CPC
San Mateo,California,100,
Inglewood,California,130,
Boca Raton,Florida,280,
Hesperia,California,70,
Daly City,California,80,
Clinton,Michigan,60,
Georgetown,Texas,160,
New Bedford,Massachusetts,90,
Davenport,Iowa,90,27.82
Plantation,Florida,60,
Deltona,Florida,80,
Federal Way,Washington,110,
San Angelo,Texas,80,23.41
Tracy,California,80,
Sunrise,Florida,130,
Memphis,Tennessee,790,8.55
Sioux Falls,South Dakota,3060,8.25
Las Cruces,New Mexico,210,35.59
Augusta,Georgia,510,13.36
Dayton,Ohio,1740,36.83
Mobile,Alabama,210,19.58
Wichita,Kansas,440,8.29
Greensboro,North Carolina,920,28.53
Baton Rouge,Louisiana,440,12.1
Evansville,Indiana,100,11.94
Clarksville,Tennessee,130,12.27
Philadelphia,Pennsylvania,1920,21.16
Honolulu,Hawaii,350,10.63
Reno,Nevada,420,16.21
Louisville,Kentucky,1930,15.06
Virginia Beach,Virginia,900,29.2
Albuquerque,New Mexico,1230,12.25
Fayetteville,North Carolina,220,
Allentown,Pennsylvania,340,12.54
Columbia,South Carolina,670,26.15
Chico,California,80,5.93
Macon,Georgia,300,21.19
Richmond,Virginia,850,12.4
Springfield,Illinois,260,21.88
Peoria,Illinois,210,
Chesapeake,Virginia,210,10.28
Durham,North Carolina,190,25.49
Fargo,North Dakota,150,28.85
Lexington,Kentucky,1300,20.72
Chattanooga,Tennessee,790,29.6
Overland Park,Kansas,220,15.49
Kansas City,Kansas,370,21.84
McAllen,Texas,230,25.65
Norman,Oklahoma,140,
Athens,Georgia,310,24.21
Fort Wayne,Indiana,270,28.47
Green Bay,Wisconsin,210,23.72
Little Rock,Arkansas,430,
South Bend,Indiana,110,17.48
Vancouver,Washington,540,28.68
Columbus,Ohio,3720,56.92
Charlotte,North Carolina,1320,32.87
Modesto,California,400,34.47
Spokane,Washington,820,38.35
Tulsa,Oklahoma,1160,40.85
Birmingham,Alabama,350,50.45
Milwaukee,Wisconsin,1140,54.07
Madison,Wisconsin,560,47.29
St. Louis,Missouri,1270,34.57
Waco,Texas,100,11.37
Conroe,Texas,880,78.4
Raleigh,North Carolina,1760,89.65
Boston,Massachusetts,460,
Bend,Oregon,150,44.78
New York,New York,5050,30.55
Topeka,Kansas,220,9.17
New Orleans,Louisiana,1720,51.56
Chicago,Illinois,2680,53.84
Huntsville,Alabama,370,17.07
Tallahassee,Florida,210,26.72
Columbus,Georgia,360,82.5
Portland,Oregon,830,57.5
Rockford,Illinois,500,37.79
Cedar Rapids,Iowa,170,22.32
Springfield,Missouri,620,8.99
Abilene,Texas,870,25.84
Oklahoma City,Oklahoma,2410,49.36
El Paso,Texas,1450,45.53
Boise,Idaho,800,52.03
Lubbock,Texas,190,61.84
Detroit,Michigan,590,45.96
Amarillo,Texas,470,71.38
Washington,District of Columbia,2050,54.32
Kansas City,Missouri,1580,32.15
Atlanta,Georgia,2890,52.54
Buffalo,New York,2780,79.66
Salem,Oregon,140,42.95
Toledo,Ohio,170,57.88
Newport News,Virginia,210,42.59
Salt Lake City,Utah,850,58.7
Grand Rapids,Michigan,790,41.91
Lincoln,Nebraska,990,47.4
Las Vegas,Nevada,18530,93.43
Wilmington,North Carolina,620,74.83
Wichita Falls,Texas,330,59.89
Newark,New Jersey,260,
Santa Rosa,California,1890,99.99
Norfolk,Virginia,180,10.22
Seattle,Washington,1610,64.54
Santa Maria,California,110,48.6
Cleveland,Ohio,1810,54.29
Indianapolis,Indiana,2200,52.05
Jersey City,New Jersey,370,
Fort Collins,Colorado,810,41.62
Shreveport,Louisiana,1310,107.61
Des Moines,Iowa,280,49.31
Minneapolis,Minnesota,1790,68.5
Houston,Texas,5490,95.27
Fishers,Indiana,100,
Fort Worth,Texas,1920,100.97
Cincinnati,Ohio,3610,41.28
Dallas,Texas,3920,138.5
Suffolk,Virginia,120,
Charleston,South Carolina,1180,75.55
Alexandria,Virginia,140,46.45
Beaumont,Texas,100,56.6
Clearwater,Florida,370,131.43
Tampa,Florida,1710,69.99
Midland,Texas,130,42.93
Omaha,Nebraska,1180,181.23
Knoxville,Tennessee,1350,86.77
Miami,Florida,2440,55.43
Fresno,California,1040,45.92
League City,Texas,90,
Tyler,Texas,160,
Independence,Missouri,190,46.13
College Station,Texas,60,
Odessa,Texas,130,82.49
Rochester,Minnesota,130,38.7
Denver,Colorado,8240,99.08
Edinburg,Texas,90,24.55
Akron,Ohio,130,50.6
Stockton,California,1400,100.8
Carmel,Indiana,100,61.3
Los Angeles,California,11660,144.15
Everett,Washington,190,
Manchester,New Hampshire,170,
Riverside,California,340,176.17
Saint Paul,Minnesota,290,86.02
Pittsburgh,Pennsylvania,1260,105.24
Tucson,Arizona,1570,108.37
Arlington,Texas,420,97.74
San Jose,California,3910,103.63
Fort Lauderdale,Florida,2260,136.58
Orlando,Florida,2550,104.16
Menifee,California,120,
Lansing,Michigan,110,94.25
Killeen,Texas,150,61.26
Lewisville,Texas,510,
San Diego,California,6160,141.04
Savannah,Georgia,910,145.12
Thornton,Colorado,340,73.0
San Francisco,California,1430,106.63
Fayetteville,Arkansas,280,60.82
Phoenix,Arizona,13330,165.41
Laredo,Texas,70,49.08
Santa Clarita,California,210,99.58
Colorado Springs,Colorado,12240,138.51
Rochester,New York,690,73.47
Jacksonville,Florida,2950,199.52
Yonkers,New York,90,
San Antonio,Texas,2730,178.29
Sacramento,California,1920,101.57
Elk Grove,California,120,
Tempe,Arizona,1450,79.37
Nashville,Tennessee,540,137.56
Mesa,Arizona,840,202.02
Bakersfield,California,1530,78.41
Aurora,Colorado,200,74.33
Billings,Montana,160,4.93
Palm Coast,Florida,80,
Oakland,California,840,58.11
Tacoma,Washington,990,105.88
Centennial,Colorado,90,
Ontario,California,420,
Anchorage,Alaska,180,8.64
Scottsdale,Arizona,1550,
Baltimore,Maryland,940,83.96
Anaheim,California,500,
Palm Bay,Florida,80,
Visalia,California,240,69.35
Long Beach,California,510,
Syracuse,New York,350,74.15
Lakewood,Colorado,480,
Antioch,California,80,
Concord,California,90,105.38
Albany,New York,270,92.93
Fullerton,California,420,
Jackson,Mississippi,220,115.64
Austin,Texas,4160,114.64
Murfreesboro,Tennessee,300,237.84
Richmond,California,100,
Ventura,California,130,
San Bernardino,California,290,151.71
Corpus Christi,Texas,400,108.62
